1658,Koi wa I na Mono Myou na Mono,1623,complete
6658,Eensy-Weensy Monster,1622,complete
2563,Gokujou no Koibito,1620,complete
824,Majin Tantei Nougami Neuro,1619,complete
12088,Ouji Romantica,1618,complete
12294,"Kyou, Koi o Hajimemasu",1618,complete
13623,Sora no Otoshimono,1618,complete
35611,Furueru Yoru no Himitsugoto,1616,complete
3402,Hana no Namae,1615,complete
14344,Ai no Koe,1615,complete
91,H2,1614,complete
1789,Alive,1614,complete
36302,Fly High!,1613,complete
47222,Eros in the Stoic,1613,complete
17273,Akuma ga Hallelujah,1612,complete
57433,Beast & Feast,1610,complete
907,Kyuuketsu Yuugi,1609,complete
189,Basilisk,1608,complete
26570,Sakamichi no Apollon,1608,complete
34339,Rensou no Aria,1608,complete
2815,Ai o Utau Yori Ore ni Oborero!,1607,complete
20220,Coelacanth,1607,complete
13557,Umi no Misaki,1604,complete
2444,Aisuru Hito,1603,complete
6515,Nijigahara Holograph,1602,complete
1765,Sensei no Okiniiri!,1599,complete
5228,Kitchen no Ohime-sama,1597,complete
2561,Empty Heart,1594,complete
3630,Cat and Master Dog,1594,complete
2054,Kindan no Koi de Ikou,1593,complete
884,The Poisonous Flower,1592,complete
7497,Koi to Wana,1592,complete
10503,"Hinyari Rouka, Mangekyou",1591,complete
77849,Koisome Momiji,1591,complete
11939,Shina Dark - Kuroki Tsuki no Ou to Souheiki no Himegimi,1588,complete
1042,Tenshi Kinryouku,1587,complete
3156,Omae ga Sekai o Kowashitai nara,1586,complete
2544,Sono Yubi Dake ga Shitte Iru,1586,complete
15845,Renai Saishuu Chiten,1585,complete
42603,Yachin Hanbun no Ibasho desu,1585,complete
50193,Anata ni Hana o Sasagemashou,1585,complete
5195,Dogs,1583,complete
1923,Azumanga Daioh,1580,complete
36723,Ashita mo Tanin,1580,complete
2421,Koroshiya 1,1579,complete
4293,Romantic Beauty,1578,complete
71967,Mahouka Koukou no Rettousei - Nyuugaku Hen,1578,complete
5873,Asu no Yoichi!,1574,complete
42506,Fujimura-kun Meitsu,1574,complete
6555,Can't Lose You,1572,complete
29898,Kibishiku Aishite,1571,complete
1594,Renai Kyoutei Nukegake Nashi!,1570,complete
41651,Kimi no Sei,1568,complete
9966,Sakura-Gari,1567,complete
12051,Signal,1567,complete
55711,Bara to Dangan,1567,complete
5145,Kowarekake no Omocha,1565,complete
38737,Hitomi kara Destiny,1562,complete
43641,Ai kara Hajimaru,1562,complete
30956,Shiranai Kao,1560,complete
41527,Katsubou no Manazashi,1559,complete
5722,Black Bird,1558,complete
6546,Fu Junai,1558,complete
1279,Royal Seventeen,1557,complete
3296,Liar Game,1556,complete
15027,Psycho Staff,1556,complete
10578,"Isso Mou, Kudokitai!",1555,complete
12296,Kimi ni Furetara,1555,complete
52028,Akame ga Kiru!,1555,complete
47014,Ubawareru Koto Marugoto Zenbu,1554,complete
2662,Shugo Chara!,1553,complete
66630,Konya mo Nemurenai,1551,complete
4576,Nousatsu Rock Shounen,1550,complete
6024,Dog Style,1549,complete
3368,Akutou Danshi Collection,1547,complete
15181,Franken Fran,1547,complete
46220,Free Punch,1547,complete
39087,Kuroko no Basuke,1546,complete
720,Hidoi Otoko,1544,complete
238,IO,1543,complete
55194,Vampire to Shinigami,1543,complete
51115,≠ - Not Equal,1541,complete
11945,Ashita no Kimi wa Koko ni Inai,1540,complete
23361,Hoshiiro no Okurimono,1540,complete
23646,Taikutsu wa Warawanai,1539,complete
46395,Goshujinsama to Wanko,1539,complete
63412,Bokura no Himitsu o Kyouyuu Shiyou ka,1538,complete
647,Inu Neko Jump!,1537,complete
78396,Boku Dake ga Inai Machi,1535,complete
1525,Homunculus,1533,complete
12729,Houkago Kiss,1533,complete
527,Saa Koi ni Ochitamae,1528,complete
1930,Kodomo no Jikan,1526,complete
74666,Renai Shimasen ka?,1526,complete
4315,Wild Fangs,1524,complete
14155,Do You Want to Try?,1524,complete
23451,Full Contact,1524,complete
44478,Sugar Code,1523,complete
35289,Aishuu,1522,complete
1087,23:00,1521,complete
70549,Endou-kun no Kansatsu Nikki,1521,complete
467,Ibara no Ou,1520,complete
5260,Blue Dragon: Ral Ω Grado,1517,complete
6012,Twin's Labyrinth,1517,complete
17322,Ashita Dorobou,1517,complete
5341,S.P.Y,1516,complete
4472,Atashi wa Sore o Gaman Dekinai,1515,complete
6136,Usotsuki wa Dareda,1515,complete
10055,Tokage Ouji,1515,complete
6329,Blue (SAKISAKA Io),1514,complete
512,Manga Mitaina Koi Shitai!,1513,complete
9974,Koibana Onsen,1512,complete
13712,Shinigamihime no Saikon,1512,complete
44211,Gokujou Twins,1511,complete
78304,Ore ga Doutei o Sutetara Shinu Ken ni Tsuite,1510,complete
30267,Kimi to Koi ni Ochiru Mahou de,1505,complete
71217,"Omamorishimasu, Dokomademo",1505,complete
6968,Dash!,1504,complete
3319,Cherish,1502,complete
25799,Aishiteru (FUJITANI Youko),1500,complete
39724,Ai da no Koi da no,1500,complete
38163,Otona no Manaa,1498,complete
110,B. Shock!,1497,complete
51,Koi Kaze,1496,complete
14164,Koi Gokoro Gekokujou,1496,complete
14224,Benkyou no Jikan,1495,complete
3248,Yokubou Shounen,1492,complete
15090,Nemunoki no Geshukusou,1491,complete
5871,Kimi ga Inakeriya Iki mo Dekinai,1490,complete
47171,Koakuma Lion,1490,complete
372,Tenjou Tenge,1489,complete
